SUDESTE,DST,Timestamp,hora,dia_semana,dia_mes,mes,ano,fim_de_semana,feriado,hora_sin,hora_cos,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,SUDESTE_lag_1,SUDESTE_lag_2,SUDESTE_lag_24,SUDESTE_lag_25,SUDESTE_roll_3_mean,SUDESTE_roll_3_std,SUDESTE_roll_3_min,SUDESTE_roll_3_max,SUDESTE_roll_6_mean,SUDESTE_roll_6_std,SUDESTE_roll_6_min,SUDESTE_roll_6_max,SUDESTE_roll_12_mean,SUDESTE_roll_12_std,SUDESTE_roll_12_min,SUDESTE_roll_12_max,SUDESTE_roll_24_mean,SUDESTE_roll_24_std,SUDESTE_roll_24_min,SUDESTE_roll_24_max,SUDESTE_roll_168_mean,SUDESTE_roll_168_std,SUDESTE_roll_168_min,SUDESTE_roll_168_max
34149.12,False,2024-07-02 01:00:00,1,1,2,7,2024,0,0,0.26,0.97,0.78,0.62,0.00,-1.00,35937.81,38710.08,32216.37,33544.41,36265.67,2298.09,34149.12,38710.08,40329.03,4857.61,34149.12,46185.03,42940.26,4432.66,34149.12,47878.69,40818.66,5408.14,31002.03,47878.69,40208.02,5621.12,31002.03,47878.69
33089.52,False,2024-07-02 02:00:00,2,1,2,7,2024,0,0,0.50,0.87,0.78,0.62,0.00,-1.00,34149.12,35937.81,31305.75,32216.37,34392.15,1439.61,33089.52,35937.81,38146.45,4637.19,33089.52,44825.35,42052.26,5248.89,33089.52,47878.69,40892.98,5282.52,31002.03,47878.69,39944.38,5679.65,31002.03,47878.69
32784.88,False,2024-07-02 03:00:00,3,1,2,7,2024,0,0,0.71,0.71,0.78,0.62,0.00,-1.00,33089.52,34149.12,31002.03,31305.75,33341.17,716.09,32784.88,34149.12,36139.70,3674.08,32784.88,42166.80,41112.27,5833.22,32784.88,47878.69,40967.27,5148.21,31435.87,47878.69,39688.68,5735.36,31002.03,47878.69
33158.50,False,2024-07-02 04:00:00,4,1,2,7,2024,0,0,0.87,0.50,0.78,0.62,0.00,-1.00,32784.88,33089.52,31435.87,31002.03,33010.96,198.81,32784.88,33158.50,34638.32,2303.53,32784.88,38710.08,40154.83,6135.24,32784.88,47878.69,41039.05,5019.96,32784.88,47878.69,39463.50,5761.08,31002.03,47878.69
34978.36,False,2024-07-02 05:00:00,5,1,2,7,2024,0,0,0.97,0.26,0.78,0.62,0.00,-1.00,33158.50,32784.88,33325.04,31435.87,33640.58,1173.51,32784.88,34978.36,34016.36,1244.71,32784.88,35937.81,39295.80,6072.72,32784.88,47878.69,41107.93,4919.84,32784.88,47878.69,39314.00,5719.80,31002.03,47878.69
37995.42,False,2024-07-02 06:00:00,6,1,2,7,2024,0,0,1.00,0.00,0.78,0.62,0.00,-1.00,34978.36,33158.50,36581.22,33325.04,35377.42,2443.03,33158.50,37995.42,34359.30,1958.67,32784.88,37995.42,38472.20,5440.11,32784.88,47685.51,41166.86,4871.50,32784.88,47878.69,39271.46,5628.64,31002.03,47878.69
40355.07,False,2024-07-02 07:00:00,7,1,2,7,2024,0,0,0.97,-0.26,0.78,0.62,0.00,-1.00,37995.42,34978.36,39257.94,36581.22,37776.28,2695.05,34978.36,40355.07,35393.62,3119.87,32784.88,40355.07,37861.33,4668.32,32784.88,46185.03,41212.57,4857.94,32784.88,47878.69,39305.32,5540.43,31002.03,47878.69
41855.23,False,2024-07-02 08:00:00,8,1,2,7,2024,0,0,0.87,-0.50,0.78,0.62,0.00,-1.00,40355.07,37995.42,41756.12,39257.94,40068.57,1945.79,37995.42,41855.23,36854.57,3802.77,32784.88,41855.23,37500.51,4099.11,32784.88,44825.35,41216.70,4858.46,32784.88,47878.69,39382.59,5471.21,31002.03,47878.69
42976.53,False,2024-07-02 09:00:00,9,1,2,7,2024,0,0,0.71,-0.71,0.78,0.62,0.00,-1.00,41855.23,40355.07,43139.35,41756.12,41728.94,1315.29,40355.07,42976.53,38553.18,3896.39,33158.50,42976.53,37346.44,3824.31,32784.88,42976.53,41209.92,4855.77,32784.88,47878.69,39488.30,5422.81,31002.03,47878.69
43880.23,False,2024-07-02 10:00:00,10,1,2,7,2024,0,0,0.50,-0.87,0.78,0.62,0.00,-1.00,42976.53,41855.23,44365.69,43139.35,42904.00,1014.45,41855.23,43880.23,40340.14,3347.39,34978.36,43880.23,37489.23,4046.19,32784.88,43880.23,41189.69,4843.05,32784.88,47878.69,39613.78,5393.80,31002.03,47878.69
44122.04,False,2024-07-02 11:00:00,11,1,2,7,2024,0,0,0.26,-0.97,0.78,0.62,0.00,-1.00,43880.23,42976.53,44721.05,44365.69,43659.60,603.78,42976.53,44122.04,41864.09,2351.36,37995.42,44122.04,37940.22,4473.67,32784.88,44122.04,41164.73,4825.57,32784.88,47878.69,39739.01,5369.03,31002.03,47878.69
43463.57,False,2024-07-02 12:00:00,12,1,2,7,2024,0,0,0.00,-1.00,0.78,0.62,0.00,-1.00,44122.04,43880.23,43757.68,44721.05,43821.95,333.08,43463.57,44122.04,42775.45,1431.98,40355.07,44122.04,38567.37,4689.73,32784.88,44122.04,41152.48,4819.07,32784.88,47878.69,39839.67,5329.23,31002.03,47878.69
44069.06,False,2024-07-02 13:00:00,13,1,2,7,2024,0,0,-0.26,-0.97,0.78,0.62,0.00,-1.00,43463.57,44122.04,43716.96,43757.68,43884.89,365.83,43463.57,44122.04,43394.44,868.23,41855.23,44122.04,39394.03,4714.35,32784.88,44122.04,41167.15,4827.75,32784.88,47878.69,39950.97,5301.30,31002.03,47878.69
44500.62,False,2024-07-02 14:00:00,14,1,2,7,2024,0,0,-0.50,-0.87,0.78,0.62,0.00,-1.00,44069.06,43463.57,43745.55,43716.96,44011.09,520.95,43463.57,44500.62,43835.34,539.85,42976.53,44500.62,40344.96,4471.69,32784.88,44500.62,41198.61,4847.70,32784.88,47878.69,40067.63,5281.57,31002.03,47878.69
45256.45,False,2024-07-02 15:00:00,15,1,2,7,2024,0,0,-0.71,-0.71,0.78,0.62,0.00,-1.00,44500.62,44069.06,44064.74,43745.55,44608.71,601.03,44069.06,45256.45,44215.33,612.02,43463.57,45256.45,41384.26,3976.77,33158.50,45256.45,41248.26,4884.30,32784.88,47878.69,40197.35,5277.58,31002.03,47878.69
45972.25,False,2024-07-02 16:00:00,16,1,2,7,2024,0,0,-0.87,-0.50,0.78,0.62,0.00,-1.00,45256.45,44500.62,44647.76,44064.74,45243.11,735.90,44500.62,45972.25,44564.00,907.51,43463.57,45972.25,42452.07,3214.54,34978.36,45972.25,41303.45,4931.63,32784.88,47878.69,40338.20,5288.66,31002.03,47878.69
46374.12,False,2024-07-02 17:00:00,17,1,2,7,2024,0,0,-0.97,-0.26,0.78,0.62,0.00,-1.00,45972.25,45256.45,45286.71,44647.76,45867.61,566.14,45256.45,46374.12,44939.35,1127.28,43463.57,46374.12,43401.72,2381.18,37995.42,46374.12,41348.76,4974.63,32784.88,47878.69,40481.92,5306.14,31002.03,47878.69
49430.36,False,2024-07-02 18:00:00,18,1,2,7,2024,0,0,-1.00,-0.00,0.78,0.62,0.00,-1.00,46374.12,45972.25,47878.69,45286.71,47258.91,1891.23,45972.25,49430.36,45933.81,1918.92,44069.06,49430.36,44354.63,2307.89,40355.07,49430.36,41413.41,5072.31,32784.88,49430.36,40690.02,5417.28,31002.03,49430.36
