Day Ahead Price,DST,Timestamp,hora,dia_semana,dia_mes,mes,ano,fim_de_semana,feriado,hora_sin,hora_cos,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,Day Ahead Price_lag_1,Day Ahead Price_lag_2,Day Ahead Price_lag_24,Day Ahead Price_lag_25,Day Ahead Price_roll_3_mean,Day Ahead Price_roll_3_std,Day Ahead Price_roll_3_min,Day Ahead Price_roll_3_max,Day Ahead Price_roll_6_mean,Day Ahead Price_roll_6_std,Day Ahead Price_roll_6_min,Day Ahead Price_roll_6_max,Day Ahead Price_roll_12_mean,Day Ahead Price_roll_12_std,Day Ahead Price_roll_12_min,Day Ahead Price_roll_12_max,Day Ahead Price_roll_24_mean,Day Ahead Price_roll_24_std,Day Ahead Price_roll_24_min,Day Ahead Price_roll_24_max,Day Ahead Price_roll_168_mean,Day Ahead Price_roll_168_std,Day Ahead Price_roll_168_min,Day Ahead Price_roll_168_max
49.90,True,2024-07-02 00:00:00,0,1,2,7,2024,0,0,0.00,1.00,0.78,0.62,0.00,-1.00,65.53,87.46,67.30,73.37,67.63,18.87,49.90,87.46,75.69,17.37,49.90,99.26,50.88,30.21,10.15,99.26,51.45,23.26,10.15,99.26,52.90,22.91,10.15,99.26
34.63,True,2024-07-02 01:00:00,1,1,2,7,2024,0,0,0.26,0.97,0.78,0.62,0.00,-1.00,49.90,65.53,52.95,67.30,50.02,15.45,34.63,65.53,69.59,24.30,34.63,99.26,52.00,29.24,10.15,99.26,50.68,23.51,10.15,99.26,52.22,22.74,10.15,99.26
37.52,True,2024-07-02 02:00:00,2,1,2,7,2024,0,0,0.50,0.87,0.78,0.62,0.00,-1.00,34.63,49.90,46.05,52.95,40.68,8.11,34.63,49.90,62.38,26.62,34.63,99.26,53.88,27.31,10.15,99.26,50.33,23.65,10.15,99.26,51.70,22.49,10.15,99.26
35.15,True,2024-07-02 03:00:00,3,1,2,7,2024,0,0,0.71,0.71,0.78,0.62,0.00,-1.00,37.52,34.63,45.83,46.05,35.77,1.54,34.63,37.52,51.70,21.16,34.63,87.46,55.96,24.48,21.17,99.26,49.88,23.84,10.15,99.26,51.13,22.30,10.15,99.26
41.07,True,2024-07-02 04:00:00,4,1,2,7,2024,0,0,0.87,0.50,0.78,0.62,0.00,-1.00,35.15,37.52,51.90,45.83,37.91,2.98,35.15,41.07,43.97,11.96,34.63,65.53,57.62,22.50,34.63,99.26,49.43,23.90,10.15,99.26,50.79,21.99,10.15,99.26
52.97,True,2024-07-02 05:00:00,5,1,2,7,2024,0,0,0.97,0.26,0.78,0.62,0.00,-1.00,41.07,35.15,59.26,51.90,43.06,9.08,35.15,52.97,41.87,7.81,34.63,52.97,58.73,21.86,34.63,99.26,49.17,23.82,10.15,99.26,50.86,21.62,10.15,99.26
81.82,True,2024-07-02 06:00:00,6,1,2,7,2024,0,0,1.00,0.00,0.78,0.62,0.00,-1.00,52.97,41.07,87.57,59.26,58.62,20.95,41.07,81.82,47.19,18.26,34.63,81.82,61.44,22.58,34.63,99.26,48.93,23.44,10.15,99.26,51.83,21.96,10.15,99.26
92.99,True,2024-07-02 07:00:00,7,1,2,7,2024,0,0,0.97,-0.26,0.78,0.62,0.00,-1.00,81.82,52.97,71.18,87.57,75.93,20.65,52.97,92.99,56.92,24.65,35.15,92.99,63.26,24.26,34.63,99.26,49.84,24.73,10.15,99.26,53.08,22.77,10.15,99.26
51.20,True,2024-07-02 08:00:00,8,1,2,7,2024,0,0,0.87,-0.50,0.78,0.62,0.00,-1.00,92.99,81.82,50.03,71.18,75.34,21.64,51.20,92.99,59.20,23.08,35.15,92.99,60.79,23.81,34.63,99.26,49.89,24.73,10.15,99.26,53.02,22.43,10.15,99.26
48.63,True,2024-07-02 09:00:00,9,1,2,7,2024,0,0,0.71,-0.71,0.78,0.62,0.00,-1.00,51.20,92.99,44.52,50.03,64.27,24.90,48.63,92.99,61.45,20.82,41.07,92.99,56.57,20.65,34.63,92.99,50.06,24.71,10.15,99.26,52.90,22.11,10.15,99.26
47.16,True,2024-07-02 10:00:00,10,1,2,7,2024,0,0,0.50,-0.87,0.78,0.62,0.00,-1.00,48.63,51.20,40.15,44.52,49.00,2.04,47.16,51.20,62.46,19.74,47.16,92.99,53.21,18.32,34.63,92.99,50.35,24.63,10.15,99.26,52.74,21.81,10.15,99.26
26.79,True,2024-07-02 11:00:00,11,1,2,7,2024,0,0,0.26,-0.97,0.78,0.62,0.00,-1.00,47.16,48.63,39.71,40.15,40.86,12.21,26.79,48.63,58.10,24.57,26.79,92.99,49.99,19.33,26.79,92.99,49.81,25.01,10.15,99.26,52.04,21.92,10.15,99.26
24.99,True,2024-07-02 12:00:00,12,1,2,7,2024,0,0,0.00,-1.00,0.78,0.62,0.00,-1.00,26.79,47.16,35.00,39.71,32.98,12.31,24.99,47.16,48.63,24.55,24.99,92.99,47.91,20.64,24.99,92.99,49.40,25.35,10.15,99.26,51.32,22.07,10.15,99.26
17.95,True,2024-07-02 13:00:00,13,1,2,7,2024,0,0,-0.26,-0.97,0.78,0.62,0.00,-1.00,24.99,26.79,21.17,35.00,23.24,4.67,17.95,26.79,36.12,14.47,17.95,51.20,46.52,22.12,17.95,92.99,49.26,25.51,10.15,99.26,50.47,22.42,10.15,99.26
