Timestamp,BE,CH,DE_AT_LU,ES,GB,IT_NORD,IT_NORD_FR,DE_LU
2015-01-01 01:00:00+01:00,-228.24,-374.0,,1118.86,-1014.0,-352.0,-352.0,
2015-01-01 02:00:00+01:00,-75.28,-282.0,,954.24,-1182.0,-189.0,-189.0,
2015-01-01 03:00:00+01:00,-21.63,-422.0,,13.31,-1297.0,-145.0,-145.0,
2015-01-01 04:00:00+01:00,-484.6,-445.0,,-238.17,-260.0,-1.0,-1.0,
2015-01-01 05:00:00+01:00,-578.28,-509.0,,-955.38,997.0,124.0,124.0,
2015-01-01 06:00:00+01:00,-402.65,-430.0,,-1260.17,356.0,177.0,177.0,
2015-01-01 07:00:00+01:00,-213.63,-366.0,,-1344.8,433.0,351.0,351.0,
2015-01-01 08:00:00+01:00,568.61,-416.0,,-1320.03,570.0,328.0,328.0,
2015-01-01 09:00:00+01:00,288.15,-477.0,,-1329.75,961.0,337.0,337.0,
2015-01-01 10:00:00+01:00,361.29,-448.0,,-1355.58,-13.0,265.0,265.0,
2015-01-01 11:00:00+01:00,591.99,-354.0,,-1118.84,-1294.0,134.0,134.0,
2015-01-01 12:00:00+01:00,663.12,-396.0,,-954.74,-1500.0,114.0,114.0,
2015-01-01 13:00:00+01:00,555.4,-552.0,,-1377.51,-1505.0,91.0,91.0,
2015-01-01 14:00:00+01:00,148.18,-740.0,,-1300.84,-1505.0,-34.0,-34.0,
2015-01-01 15:00:00+01:00,-31.17,-781.0,,-1272.93,-1506.0,-18.0,-18.0,
2015-01-01 16:00:00+01:00,-34.34,-837.0,,-1304.91,-1506.0,-78.0,-78.0,
2015-01-01 17:00:00+01:00,138.68,-870.0,,-1303.17,-1506.0,-580.0,-580.0,
2015-01-01 18:00:00+01:00,420.45,-623.0,,-1302.8,-1507.0,-1026.0,-1026.0,
2015-01-01 19:00:00+01:00,689.53,-638.0,,-1208.76,-1506.0,-1323.0,-1323.0,
2015-01-01 20:00:00+01:00,663.01,-912.0,,-1252.31,-1330.0,-1399.0,-1399.0,
2015-01-01 21:00:00+01:00,575.06,-1242.0,,-1174.21,-1329.0,-1473.0,-1473.0,
2015-01-01 22:00:00+01:00,323.7,-1188.0,,-1212.0,-1201.0,-1414.0,-1414.0,
2015-01-01 23:00:00+01:00,298.44,-867.0,,-1232.9,269.0,-969.0,-969.0,
2015-01-02 00:00:00+01:00,239.57,-1124.0,,-1238.48,250.0,-774.0,-774.0,
2015-01-02 01:00:00+01:00,490.85,-1144.0,,-1309.62,-167.0,-707.0,-707.0,
2015-01-02 02:00:00+01:00,162.09,-1177.0,,-1307.97,245.0,-575.0,-575.0,
2015-01-02 03:00:00+01:00,-72.53,-1152.0,,-1372.32,581.0,-299.0,-299.0,
2015-01-02 04:00:00+01:00,-251.44,-1252.0,,-1315.26,766.0,-374.0,-374.0,
2015-01-02 05:00:00+01:00,-161.28,-975.0,,-1288.39,1274.0,-336.0,-336.0,
2015-01-02 06:00:00+01:00,166.86,-824.0,,-1302.3,1419.0,-372.0,-372.0,
2015-01-02 07:00:00+01:00,334.85,-484.0,,-1223.44,-119.0,-322.0,-322.0,
2015-01-02 08:00:00+01:00,-176.1,-497.0,,-1166.93,-887.0,-571.0,-571.0,
2015-01-02 09:00:00+01:00,-431.03,-325.0,,-1190.13,-1014.0,-675.0,-675.0,
2015-01-02 10:00:00+01:00,-259.67,-595.0,,-1216.04,-1400.0,-498.0,-498.0,
2015-01-02 11:00:00+01:00,-228.63,-795.0,,-1145.29,-1404.0,-640.0,-640.0,
2015-01-02 12:00:00+01:00,203.54,-792.0,,-1186.99,-1506.0,-666.0,-666.0,
2015-01-02 13:00:00+01:00,394.66,-788.0,,-1220.01,-1507.0,-614.0,-614.0,
2015-01-02 14:00:00+01:00,191.67,-910.0,,-1170.56,-1508.0,-636.0,-636.0,
2015-01-02 15:00:00+01:00,-11.86,-1002.0,,-1163.18,-1507.0,-760.0,-760.0,
2015-01-02 16:00:00+01:00,-7.35,-1189.0,,-768.76,-1508.0,-931.0,-931.0,
2015-01-02 17:00:00+01:00,149.72,-399.0,,-1253.11,-1507.0,-937.0,-937.0,
2015-01-02 18:00:00+01:00,623.54,-45.0,,-1235.5,-1508.0,-1037.0,-1037.0,
2015-01-02 19:00:00+01:00,839.94,-161.0,,-1217.55,-1506.0,-1195.0,-1195.0,
2015-01-02 20:00:00+01:00,607.92,-722.0,,-1238.28,-1182.0,-1308.0,-1308.0,
2015-01-02 21:00:00+01:00,604.74,-986.0,,-1202.69,-1301.0,-1336.0,-1336.0,
2015-01-02 22:00:00+01:00,215.43,-914.0,,-1160.83,-674.0,-1347.0,-1347.0,
2015-01-02 23:00:00+01:00,67.95,-752.0,,-1230.07,-183.0,-972.0,-972.0,
2015-01-03 00:00:00+01:00,592.88,-755.0,,-1264.99,-880.0,-703.0,-703.0,
2015-01-03 01:00:00+01:00,796.29,-911.0,,-1191.32,-1109.0,-698.0,-698.0,
2015-01-03 02:00:00+01:00,851.79,-936.0,,-1312.4,-1352.0,-614.0,-614.0,
2015-01-03 03:00:00+01:00,333.55,-873.0,,-1337.52,-1353.0,-382.0,-382.0,
2015-01-03 04:00:00+01:00,270.75,-915.0,,-1305.47,-1319.0,-377.0,-377.0,
2015-01-03 05:00:00+01:00,275.29,-1068.0,,-1326.0,-1318.0,-440.0,-440.0,
2015-01-03 06:00:00+01:00,60.02,-1055.0,,-1317.19,-1327.0,-483.0,-483.0,
2015-01-03 07:00:00+01:00,632.1,-997.0,,-1325.88,-1354.0,-456.0,-456.0,
2015-01-03 08:00:00+01:00,597.33,-1028.0,,-1188.71,-1505.0,-514.0,-514.0,
2015-01-03 09:00:00+01:00,82.01,-931.0,,-1211.62,-1507.0,-541.0,-541.0,
2015-01-03 10:00:00+01:00,-425.18,-908.0,,-1195.09,-1507.0,-322.0,-322.0,
2015-01-03 11:00:00+01:00,-779.38,-948.0,,-1194.55,-1507.0,-451.0,-451.0,
2015-01-03 12:00:00+01:00,-847.58,-896.0,,-1191.04,-1507.0,-541.0,-541.0,
2015-01-03 13:00:00+01:00,-1000.49,-1060.0,,-1187.2,-1505.0,-537.0,-537.0,
2015-01-03 14:00:00+01:00,-1121.26,-986.0,,-1182.06,-1506.0,-383.0,-383.0,
2015-01-03 15:00:00+01:00,-1437.51,-1134.0,,-1151.27,-1507.0,-250.0,-250.0,
2015-01-03 16:00:00+01:00,-1483.94,-1196.0,,-1215.4,-1508.0,-257.0,-257.0,
2015-01-03 17:00:00+01:00,-1753.24,-1164.0,,-1188.44,-1508.0,-1076.0,-1076.0,
2015-01-03 18:00:00+01:00,-1796.61,-1014.0,,-1228.03,-1507.0,-1537.0,-1537.0,
2015-01-03 19:00:00+01:00,-1307.91,-826.0,,-1187.26,-1507.0,-1779.0,-1779.0,
2015-01-03 20:00:00+01:00,-889.03,-887.0,,-1223.47,-1507.0,-1736.0,-1736.0,
2015-01-03 21:00:00+01:00,-885.16,-951.0,,-1188.05,-1507.0,-1604.0,-1604.0,
2015-01-03 22:00:00+01:00,-721.02,-932.0,,-1152.2,-1507.0,-1485.0,-1485.0,
2015-01-03 23:00:00+01:00,-256.68,-617.0,,-1197.37,-1509.0,-944.0,-944.0,
2015-01-04 00:00:00+01:00,-276.13,-508.0,,-1276.43,-1411.0,-615.0,-615.0,
2015-01-04 01:00:00+01:00,-287.89,-395.0,-1150.0,-1330.04,-1409.0,-540.0,-540.0,
2015-01-04 02:00:00+01:00,-465.93,-413.0,-1249.0,-1332.09,-1409.0,-465.0,-465.0,
2015-01-04 03:00:00+01:00,-835.49,-352.0,-1097.0,-1325.37,-1409.0,-280.0,-280.0,
2015-01-04 04:00:00+01:00,-1005.02,-535.0,-1082.0,-1306.71,-1409.0,-438.0,-438.0,
2015-01-04 05:00:00+01:00,-1049.1,-610.0,-1119.0,-1323.58,-1409.0,-630.0,-630.0,
2015-01-04 06:00:00+01:00,-1106.82,-613.0,-1134.0,-1288.66,-1409.0,-779.0,-779.0,
2015-01-04 07:00:00+01:00,-729.13,-591.0,-1307.0,-1345.57,-1409.0,-591.0,-591.0,
2015-01-04 08:00:00+01:00,-800.88,-648.0,-1474.0,-1302.65,-1409.0,-576.0,-576.0,
2015-01-04 09:00:00+01:00,-797.08,-514.0,-1423.0,-1301.85,-1508.0,-581.0,-581.0,
2015-01-04 10:00:00+01:00,-781.29,-498.0,-1407.0,-1311.53,-1507.0,-647.0,-647.0,
2015-01-04 11:00:00+01:00,-802.4,-459.0,-1413.0,-1333.89,-1507.0,-696.0,-696.0,
2015-01-04 12:00:00+01:00,-451.38,-351.0,-1274.0,-1321.88,-1508.0,-702.0,-702.0,
2015-01-04 13:00:00+01:00,-647.17,-468.0,-1542.0,-1392.47,-1508.0,-645.0,-645.0,
2015-01-04 14:00:00+01:00,-888.33,-498.0,-1849.0,-1283.21,-1508.0,-669.0,-669.0,
2015-01-04 15:00:00+01:00,-1021.21,-560.0,-1892.0,-1312.45,-1508.0,-645.0,-645.0,
2015-01-04 16:00:00+01:00,-1440.51,-741.0,-2114.0,-1320.89,-1508.0,-749.0,-749.0,
2015-01-04 17:00:00+01:00,-1363.05,-897.0,-2194.0,-1272.27,-1507.0,-1242.0,-1242.0,
2015-01-04 18:00:00+01:00,-965.1,-532.0,-1679.0,-1270.15,-1507.0,-1643.0,-1643.0,
2015-01-04 19:00:00+01:00,-662.6,-566.0,-1417.0,-1207.74,-1507.0,-1697.0,-1697.0,
2015-01-04 20:00:00+01:00,-473.37,-501.0,-1359.0,-1286.76,-1506.0,-1482.0,-1482.0,
2015-01-04 21:00:00+01:00,-370.79,-668.0,-1448.0,-1215.77,-1507.0,-1405.0,-1405.0,
2015-01-04 22:00:00+01:00,-243.73,-603.0,-1306.0,-1186.82,-1506.0,-1417.0,-1417.0,
2015-01-04 23:00:00+01:00,45.79,-389.0,-924.0,-1246.56,-1507.0,-982.0,-982.0,
2015-01-05 00:00:00+01:00,-72.75,-279.0,-617.0,-1311.84,-1433.0,-479.0,-479.0,
2015-01-05 01:00:00+01:00,-163.45,-333.0,-676.0,-1314.61,-1432.0,-253.0,-253.0,
